epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,651.664,1.46932,2.46039,0.22973,1.36915,1.22585,0.27645,0.28255,0.18385,0.08327,0.43663,0.28098,0.24766,0.14408,2.14641,4.03788,0.08658,2.00854,1.68254,0.000872563,0.000872563,0.000872563
63,658.958,1.45524,2.53952,0.23068,1.39809,1.23404,0.16693,0.29401,0.135,0.06502,0.42236,0.29401,0.13113,0.07976,2.11364,4.14946,0.08718,2.05963,1.68096,0.000866375,0.000866375,0.000866375
64,672.146,1.47187,2.61147,0.2463,1.4199,1.24799,0.16693,0.29401,0.135,0.06502,0.42236,0.29401,0.13113,0.07976,2.11364,4.14946,0.08718,2.05963,1.68096,0.000860188,0.000860188,0.000860188
65,680.155,1.39933,2.38197,0.22548,1.31873,1.20795,0.21523,0.42446,0.20513,0.08449,0.20471,0.42612,0.18123,0.09874,2.07581,4.14278,0.08249,1.9598,1.686,0.000854,0.000854,0.000854
66,686.968,1.4017,2.26074,0.22796,1.3042,1.19647,0.21523,0.42446,0.20513,0.08449,0.20471,0.42612,0.18123,0.09874,2.07581,4.14278,0.08249,1.9598,1.686,0.000847813,0.000847813,0.000847813
67,697.123,1.44765,2.42707,0.23178,1.33975,1.22225,0.2289,0.40278,0.23651,0.09767,0.1837,0.41019,0.22364,0.11433,2.07692,4.17095,0.07695,1.96321,1.67399,0.000841625,0.000841625,0.000841625
68,706.898,1.44328,2.44363,0.20906,1.30392,1.21259,0.18643,0.38241,0.17871,0.07742,0.17763,0.36815,0.17688,0.09718,2.08657,4.19505,0.07924,2.00518,1.67074,0.000835438,0.000835438,0.000835438
69,713.867,1.42692,2.31403,0.25865,1.31789,1.23266,0.18643,0.38241,0.17871,0.07742,0.17763,0.36815,0.17688,0.09718,2.08657,4.19505,0.07924,2.00518,1.67074,0.00082925,0.00082925,0.00082925
70,722.582,1.3396,2.12879,0.20799,1.2454,1.16792,0.23002,0.18971,0.14759,0.07265,0.17976,0.33786,0.14226,0.08984,2.11876,4.2295,0.08864,2.10222,1.64109,0.000823063,0.000823063,0.000823063
71,729.932,1.33756,2.21043,0.22736,1.33772,1.15029,0.25479,0.26551,0.18303,0.0857,0.25227,0.26385,0.1901,0.11898,2.15696,4.21884,0.08878,2.04319,1.61855,0.000816875,0.000816875,0.000816875
72,743.58,1.4065,2.32371,0.23767,1.29033,1.19513,0.25479,0.26551,0.18303,0.0857,0.25227,0.26385,0.1901,0.11898,2.15696,4.21884,0.08878,2.04319,1.61855,0.000810688,0.000810688,0.000810688
73,751.91,1.40718,2.17387,0.22104,1.27554,1.20649,0.29299,0.2867,0.20237,0.08101,0.31982,0.28947,0.24464,0.14519,2.10597,3.83592,0.08857,1.98254,1.60938,0.0008045,0.0008045,0.0008045
74,759.39,1.3905,2.18812,0.22805,1.28169,1.20016,0.29299,0.2867,0.20237,0.08101,0.31982,0.28947,0.24464,0.14519,2.10597,3.83592,0.08857,1.98254,1.60938,0.000798313,0.000798313,0.000798313
75,766.412,1.32776,2.08897,0.23464,1.25068,1.15019,0.31995,0.32374,0.19448,0.0738,0.36762,0.30938,0.22046,0.14197,2.10799,3.95299,0.08595,2.03743,1.63843,0.000792125,0.000792125,0.000792125
76,773.271,1.32589,2.02439,0.25395,1.25353,1.18364,0.46139,0.31843,0.22841,0.08098,0.44949,0.30717,0.22144,0.1721,2.1264,4.08734,0.07751,1.9828,1.63639,0.000785938,0.000785938,0.000785938
77,782.715,1.36397,2.18865,0.20492,1.23032,1.17742,0.46139,0.31843,0.22841,0.08098,0.44949,0.30717,0.22144,0.1721,2.1264,4.08734,0.07751,1.9828,1.63639,0.00077975,0.00077975,0.00077975
78,794.418,1.40888,2.28932,0.2135,1.28571,1.18791,0.28631,0.28034,0.23117,0.09116,0.32882,0.32717,0.2457,0.15856,2.15244,4.26812,0.07532,1.95302,1.66156,0.000773563,0.000773563,0.000773563
79,808.637,1.36209,2.05898,0.22914,1.20571,1.16637,0.3495,0.23901,0.21082,0.09174,0.39159,0.27635,0.24249,0.14255,2.10862,4.26948,0.08313,1.92956,1.65806,0.000767375,0.000767375,0.000767375
80,818.42,1.31309,2.03891,0.20172,1.19624,1.13235,0.3495,0.23901,0.21082,0.09174,0.39159,0.27635,0.24249,0.14255,2.10862,4.26948,0.08313,1.92956,1.65806,0.000761188,0.000761188,0.000761188
81,830.106,1.29394,1.94294,0.20952,1.16508,1.16178,0.2459,0.35015,0.20348,0.08534,0.24498,0.35981,0.25602,0.14149,2.18443,4.12057,0.09054,1.93982,1.6745,0.000755,0.000755,0.000755
82,837.731,1.29144,1.96485,0.22113,1.1957,1.16073,0.2459,0.35015,0.20348,0.08534,0.24498,0.35981,0.25602,0.14149,2.18443,4.12057,0.09054,1.93982,1.6745,0.000748813,0.000748813,0.000748813
83,845.015,1.26905,1.94138,0.23614,1.15063,1.1412,0.22731,0.35987,0.19076,0.08745,0.45678,0.21026,0.25629,0.14322,2.1659,3.95828,0.08778,1.96229,1.70619,0.000742625,0.000742625,0.000742625
84,856.964,1.27923,1.89363,0.19476,1.13777,1.12729,0.27126,0.2762,0.18943,0.08826,0.34703,0.30375,0.26982,0.16938,2.11184,3.92615,0.08665,1.97775,1.67501,0.000736438,0.000736438,0.000736438
85,867.449,1.24055,1.88424,0.20198,1.12231,1.1159,0.27126,0.2762,0.18943,0.08826,0.34703,0.30375,0.26982,0.16938,2.11184,3.92615,0.08665,1.97775,1.67501,0.00073025,0.00073025,0.00073025
86,875.867,1.25561,1.93016,0.18752,1.09931,1.11858,0.22139,0.30246,0.18807,0.08913,0.33495,0.27489,0.2569,0.15811,2.09207,4.06662,0.09083,2.00805,1.65258,0.000724062,0.000724062,0.000724062
87,887.819,1.19918,1.92657,0.24155,1.2805,1.1332,0.44557,0.22872,0.23708,0.09164,0.33759,0.26314,0.19868,0.11764,2.10733,4.07175,0.08723,2.01161,1.64008,0.000717875,0.000717875,0.000717875
88,895.305,1.27502,1.88737,0.21056,1.14856,1.14011,0.44557,0.22872,0.23708,0.09164,0.33759,0.26314,0.19868,0.11764,2.10733,4.07175,0.08723,2.01161,1.64008,0.000711687,0.000711687,0.000711687
89,902.336,1.23693,1.7879,0.19937,1.1255,1.12805,0.44603,0.27302,0.23162,0.10197,0.44588,0.26698,0.23928,0.14883,2.12011,3.94339,0.08768,2.00621,1.65518,0.0007055,0.0007055,0.0007055
90,912.835,1.22013,1.78847,0.21822,1.07387,1.10969,0.44603,0.27302,0.23162,0.10197,0.44588,0.26698,0.23928,0.14883,2.12011,3.94339,0.08768,2.00621,1.65518,0.000699312,0.000699312,0.000699312
91,922.576,1.2446,1.83874,0.22042,1.08876,1.13519,0.51885,0.2786,0.24145,0.10388,0.48853,0.24792,0.22726,0.13985,2.20407,4.12777,0.0885,1.98121,1.71847,0.000693125,0.000693125,0.000693125
92,932.014,1.2091,1.8139,0.19944,1.05377,1.1172,0.46254,0.24731,0.24989,0.09218,0.47241,0.25407,0.24897,0.1371,2.19661,3.99623,0.08572,2.07117,1.7151,0.000686937,0.000686937,0.000686937
93,938.24,1.18617,1.76836,0.20089,1.05553,1.08621,0.46254,0.24731,0.24989,0.09218,0.47241,0.25407,0.24897,0.1371,2.19661,3.99623,0.08572,2.07117,1.7151,0.00068075,0.00068075,0.00068075
