epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,816.483,1.00189,1.27331,0.20176,0.77149,1.0126,0.36957,0.28272,0.246,0.09886,0.3198,0.21678,0.18412,0.11658,2.1503,4.1113,0.1322,2.22181,1.67166,0.000594125,0.000594125,0.000594125
108,822.693,1.02495,1.43192,0.18846,0.75672,1.02946,0.36957,0.28272,0.246,0.09886,0.3198,0.21678,0.18412,0.11658,2.1503,4.1113,0.1322,2.22181,1.67166,0.000587938,0.000587938,0.000587938
109,830.843,1.04538,1.41712,0.18797,0.75101,1.0125,0.46328,0.24019,0.25516,0.10458,0.43745,0.22813,0.2402,0.13923,2.09652,4.01909,0.13245,2.10974,1.63493,0.00058175,0.00058175,0.00058175
110,835.768,1.03018,1.42141,0.22409,0.81874,1.01515,0.41952,0.29848,0.24996,0.10478,0.43357,0.33348,0.28131,0.17533,2.07362,3.93554,0.12961,2.10379,1.60727,0.000575563,0.000575563,0.000575563
111,841.402,1.08078,1.47049,0.22441,0.80914,1.05292,0.52325,0.26287,0.26795,0.10707,0.44616,0.32559,0.28503,0.17894,2.06859,3.92119,0.12471,2.12572,1.60203,0.000569375,0.000569375,0.000569375
112,851.319,1.02661,1.38114,0.20178,0.78284,1.01854,0.41591,0.27418,0.25641,0.1004,0.4438,0.30566,0.27727,0.16919,2.06213,3.96472,0.12465,2.14842,1.60402,0.000563187,0.000563187,0.000563187
113,857.223,1.05141,1.40542,0.21594,0.79188,0.99937,0.41591,0.27418,0.25641,0.1004,0.4438,0.30566,0.27727,0.16919,2.06213,3.96472,0.12465,2.14842,1.60402,0.000557,0.000557,0.000557
114,862.143,0.98999,1.29746,0.17699,0.76164,1.00959,0.39833,0.22936,0.26243,0.11564,0.3782,0.26816,0.25852,0.15736,2.09413,4.01679,0.11882,2.16159,1.6169,0.000550813,0.000550813,0.000550813
115,866.707,1.02225,1.42567,0.17525,0.74922,1.01483,0.34025,0.28307,0.2379,0.10044,0.29197,0.29516,0.22838,0.14301,2.17469,4.03294,0.11483,2.22517,1.66454,0.000544625,0.000544625,0.000544625
116,871.756,0.95886,1.26221,0.20325,0.7226,0.98308,0.4024,0.28895,0.23104,0.10332,0.3919,0.25951,0.22823,0.1311,2.15727,4.09966,0.11825,2.27555,1.65099,0.000538438,0.000538438,0.000538438
