epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,242.353,1.66128,4.44848,0.3511,1.59883,1.30078,0.20771,0.26233,0.17787,0.08146,0.13622,0.21759,0.11137,0.03864,2.38663,5.54349,0.29398,2.40238,1.77711,0.00077975,0.00077975,0.00077975
78,244.363,1.79937,4.71228,0.34819,1.6403,1.34428,0.23472,0.23461,0.18415,0.10039,0.14071,0.18358,0.08417,0.02842,2.41162,5.61309,0.2904,2.47441,1.81237,0.000773563,0.000773563,0.000773563
79,246.431,1.65558,4.43721,0.36276,1.58972,1.2904,0.22232,0.23112,0.17941,0.08693,0.10786,0.13808,0.06156,0.02484,2.49471,5.68733,0.28554,2.51781,1.86204,0.000767375,0.000767375,0.000767375
80,249.319,1.71064,4.5496,0.36527,1.65475,1.33003,0.23471,0.23047,0.19413,0.09412,0.12613,0.13583,0.07332,0.03053,2.43612,5.66598,0.28434,2.4402,1.8318,0.000761188,0.000761188,0.000761188
81,252.366,1.57383,4.24227,0.35373,1.56572,1.26538,0.23471,0.23047,0.19413,0.09412,0.12613,0.13583,0.07332,0.03053,2.43612,5.66598,0.28434,2.4402,1.8318,0.000755,0.000755,0.000755
82,255.542,1.6016,4.39327,0.36338,1.53316,1.26729,0.24577,0.25214,0.19388,0.09989,0.17477,0.18812,0.10729,0.04102,2.31362,5.63323,0.28681,2.30126,1.75627,0.000748813,0.000748813,0.000748813
83,258.251,1.6036,4.26982,0.35814,1.53595,1.26024,0.23196,0.2605,0.19562,0.07529,0.21895,0.22253,0.17905,0.06149,2.39093,5.71011,0.30094,2.27525,1.78981,0.000742625,0.000742625,0.000742625
84,260.354,1.66729,4.40408,0.34057,1.59392,1.31058,0.2371,0.22957,0.16706,0.06306,0.20894,0.20279,0.13334,0.05656,2.43228,5.74875,0.30631,2.31128,1.81757,0.000736438,0.000736438,0.000736438
85,262.421,1.6784,4.32121,0.33797,1.5254,1.26974,0.2371,0.22957,0.16706,0.06306,0.20894,0.20279,0.13334,0.05656,2.43228,5.74875,0.30631,2.31128,1.81757,0.00073025,0.00073025,0.00073025
86,264.458,1.62678,4.35859,0.34234,1.51647,1.27161,0.22068,0.23625,0.2032,0.06253,0.40725,0.15758,0.18438,0.07724,2.42321,5.65448,0.29951,2.32695,1.83689,0.000724062,0.000724062,0.000724062
87,266.401,1.60738,4.2145,0.34225,1.50148,1.25477,0.27889,0.21754,0.20283,0.06872,0.25958,0.18633,0.17491,0.07661,2.38086,5.52582,0.28338,2.31073,1.83436,0.000717875,0.000717875,0.000717875
88,269.202,1.58602,4.21333,0.34128,1.47821,1.25981,0.24531,0.21774,0.19047,0.06741,0.20681,0.20614,0.16853,0.0753,2.34013,5.54882,0.27892,2.34735,1.80801,0.000711687,0.000711687,0.000711687
89,272.352,1.65218,4.18536,0.33897,1.54235,1.29311,0.24531,0.21774,0.19047,0.06741,0.20681,0.20614,0.16853,0.0753,2.34013,5.54882,0.27892,2.34735,1.80801,0.0007055,0.0007055,0.0007055
90,275.474,1.57694,4.15207,0.35234,1.53973,1.25279,0.26988,0.20285,0.16602,0.06012,0.22286,0.19035,0.14594,0.06588,2.35746,5.61687,0.28469,2.43887,1.82894,0.000699312,0.000699312,0.000699312
